条码,商品全名,规格,型号,商品陈列,装箱数量,总仓补货,和谐补货
6927999000856,婴之侣旋转式冰箱安全扣,1个/盒,ID-S030,6,5 ,5 ,4 
6927999000610,婴之侣弹性防撞桌边,1/个,ID-S022,5,3 ,3 ,0 
6927999000559,婴之侣墙边防撞条,1/盒,ID-S016,5,0 ,0 ,1 
6927999001303,婴之侣婴幼儿安全床护栏,1个/盒,ID-S027,2,2 ,2 ,2 
6900050104908,婴之侣咪咪兔光控小夜灯/弯耳朵,1/个,ID-S053,5,2 ,2 ,1 
6927999001846,婴之侣囧爸加强型安全门卡,1/个,ID-S010A,5,0 ,0 ,1 
6927999001853,婴之侣囧妈加强型安全门卡,1/个,ID-S010B,5,2 ,2 ,0 
6952703700333,贝亲婴儿柔湿纸巾10p★,10抽/包,KA38(OAP12),20,25 ,25 ,36 
6931025800662,贝亲奶瓶保温袋/绿色,1/个,GA06(OAL02),3,4 ,4 ,3 
4902508108522,贝亲婴儿训练牙刷/1-3岁/绿色+黄色,2把/卡,10852,10,1 ,1 ,6 
6952703700616,贝亲婴儿手口擦拭湿纸巾70p/无酒精/3联包,3包/组,PL145,10,17 ,17 ,2 
6931025812542,贝亲单手便携大容量吸管杯/芒果黄,300ml/个,DA50,5,0 ,0 ,2 
6952124200153,贝亲自然实感宽口奶嘴/L/Y孔/单个盒装★,1/个,BA60(OAH25),5,135 ,135 ,170 
6952124200047,贝亲自然实感宽口PPSU奶瓶M/绿色,240ml/个,AA74(OAG34),6,3 ,3 ,1 
4902508100304,贝亲海绵可洗粉扑,1/个,10030,8,4 ,4 ,2 
6931025808989,贝亲儿童沐浴露/甜橙味,250ml/瓶,IA48(OAD02),8,9 ,9 ,1 
6931025809009,贝亲儿童免洗喷雾/抑菌型,120ml/瓶,IA50(OAE01),8,9 ,9 ,3 
6931025811354,贝亲婴儿抗菌洗衣粉,800g/袋,MA15(OAN11),8,14 ,14 ,8 
6931025811347,贝亲婴儿抗菌洗衣粉,1500g/袋,MA14(OAN10),8,0 ,0 ,7 
4902508030403,贝亲食物研磨器/进口,1/套,03040,4,8 ,8 ,5 
4902508150200,贝亲婴幼儿用无纺布口罩,3/包,15020,5,4 ,4 ,1 
6952703700258,贝亲迷你吸管杯/粉色,150ml/个,DA46,6,6 ,6 ,1 
